id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
16817,Vengeance,"The daughter of a man on the run is brutally attacked, and with the police reluctant to act, he must return to a city he no longer recognises to deal with the culprits himself, relying on help from his last remaining friends.",Crime,3.6,80203,1,Movie,1,English
16819,We Had It Coming,"In a world of faceless, anonymous men, Anna seeks to avenge her younger sister's suicide, which resulted from her relationship with a ruthless pimp. During this hunt, Anna encounters a mysterious woman who recruits young, vulnerable girls.","Mystery, Thriller",5.6,61679,1,Movie,1,English
16820,The Fourth Musketeer,"At the behest of his father, young d'Artagnan travels from rural Gascony to Paris, where he becomes embroiled in a devious plot between the King's Musketeers and the Guardsmen of Cardinal Richelieu.","Action, Adventure",3.3,83173,1,Movie,1,English
16821,Life in Long Beach,"A look into the people, places, and stories that go on in a day in Long Beach, CA.",Comedy,6.7,8161,1,Movie,1,English
16822,Interviewing Monsters and Bigfoot,A forest ranger tries to prevent a vengeful college professor and a legendary hunter from capturing Bigfoot.,"Action, Comedy",3.2,13606,1,Movie,1,English
16823,Spin State,"A troubled private investigator plagued by strange blackouts investigates the estranged husband of a young scientist, which reveals a connection between her husband and his own repressed trauma.","Drama, Mystery, Sci-fi",6.2,16432,1,Movie,1,English
16824,Unwritten,"An agoraphobic, failed writer who lives in a used bookstore becomes convinced that a mysterious customer is a villain from a story that he never finished writing. He is forced to overcome his fears in an attempt to save not only his estranged daught",Thriller,3.5,31192,1,Movie,1,English
16835,Tinker Bell O Segredo Das Fadas,"Sininho vagueia pela floresta proibida do inverno e conhece Periwinkle. Juntas, elas descobrem o segredo de suas asas e tentam unir as fadas do calor e as fadas do inverno para ajudar o Refúgio das Fadas.","Adventure, Fantasy, Animation",7.0,10320302,1,Movie,67,Português
16872,Breaking the Ice,"Caroline's first love Easton, now a hockey star, rehires her after 8 years. She never told him he fathered her child. Reunited, will she reveal the truth before it's too late?","Drama, Romance",6.9,7854485,2,Short Drama,1,English
16873,Cohabitating Lover,"When a disowned heiress and self-made entrepreneur find themselves as tentative roommates, comedic disagreements and accidents occur constantly. But as they navigate their way through adulthood side-by-side, they slowly discover they're not as different as they seem.",Comedy,8.0,785484,2,Short Drama,1,English
16886,Forbidden Affair With My Husband,"A woman in an arranged marriage works at a masquerade bar, where she meets her own husband - though neither recognizes the other. They resist their attraction, believing they're both married to others.","Drama, Love Story",8.1,85479,2,Short Drama,1,English
16889,Talking to God,A woman discovers the true meaning of life after travelling to Ukraine to search for a cure for insomnia.,Comedy,4.1,8595,1,Movie,1,English
16890,Ascension: I Am Not My Mother,"Elizabeth is haunted by her past and is trapped in an abusive relationship with her tyrannical husband, Caleb. She finds solace in her writing and an escape into a world where her imagination can influence good or evil","Drama, Family",7.6,108539,1,Movie,1,English
16891,Like a Bat Outta Hell,"When four young filmmakers are sent into the outback for a new project, they get stranded in the desert while a mysterious flying entity disables their vehicle.","Drama, Horror, Thriller, Sci-fi, Fantasy",3.6,52804,1,Movie,1,English
16892,Division,"When a Z-list actress connects with a fan who has opposing political views in pre-election, pandemic-stricken America, will they come together or prove we're too far apart?",Drama,8.3,8044,1,Movie,1,English
16893,South of the River,"Front man Aaron has it all. The mates, the band, a girl - and cancer. When he meets someone new, only he can decide whether to rock until he drops or grow up to survive. Life and love. It's all going on, South of the River.",Drama,6.3,7206,1,Movie,1,English
16895,The Appleton Ladies' Potato Race,"Penny returns to her childhood home of Appleton, where she starts a cultural war after she learns their world-famous potato race awards the women's first place prize a fraction of the men's first place prize.","Comedy, Drama",5.6,13014,1,Movie,1,English
16896,Rosebud Lane,"When a middle aged Hollywood filmmaker receives an unexpected card from his young son whom he has never met, he makes the difficult decision to go see him in the Blue Ridge Mountains of North Carolina.","Drama, Romance",6.3,68014,1,Movie,1,English
16897,Run Away With Me,A former soldier is released from prison before the world's destruction and sent on a mission to save mankind.,"Thriller, Sci-fi",5.0,19754,1,Movie,1,English
16898,Heckle,Fledgling female stand up learns how not to die on stage.,"Comedy, Drama",5.9,7208,1,Movie,1,English
16899,Desert Cathedral,"Leaving behind a trail of VHS tapes, Peter Collins, a despairing real estate developer, mysteriously disappears into the Southwest in 1992.","Drama, Mystery, Thriller",6.2,23553,1,Movie,1,English
16900,Ashgrove,"An overworked scientist needs to take a weekend off work, so she and her husband head to their farm, but something isn't quite right.",Drama,4.4,12105,1,Movie,1,English
16901,Extra Innings,"In 1960s Brooklyn, a teenager struggles between fulfilling his baseball dreams or staying devoted to his controlling Syrian Jewish family.",Drama,5.7,12546,1,Movie,1,English
16902,Friend Request,"Two detectives are tasked with apprehending a crazed, online psycho who tracks down and lures victims via a popular social media site.",Thriller,3.8,192538,1,Movie,1,English
16904,It Came Upon a Midnight Clear,"Jeremy Adams, a hopeless romantic high school senior, just scored a date with his dream girl, Amanda Lawton, but she is kidnapped causing him and his best friend, Minka, to go on a horrific quest to save her from a ruthless serial killer","Comedy, Horror",5.5,15205,1,Movie,1,English
16905,Spring 1941,"Artur, his wife and children search for a safe place to hide from the Nazis. Afterwards, their grocer and the wife of a veteran, Emilia, offer them shelter.","Action, War",5.9,938658,1,Movie,1,English
16906,Absolution,"A hit man who works for the Russian mafia is sent to Berlin to retrieve the watch that Yuri Gagarin wore on his first flight to outer space. Before that, he must deal with the consequences of the mess he left behind on his last mission to Berlin.","Action, Thriller",5.9,436320,1,Movie,1,English
16923,Sisters Grimm,"Sisters, Esmeralda and Fancy Grimm, set out on the final leg of their journey to their ancestral village, but they need to get past a coven of witches, an amorous yokel and a storm that leaves them stranded.",Adventure,5.0,44290,1,Movie,1,English
