id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
132,IP MAN 3,"Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping.",Action,7.0,196201,1,Movie,2,हिन्दी,"IP MAN 3 IP MAN 3 Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping. Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping. intense action packed sequences elements of family Action film with action elements good quality rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
133,Tholi Prema,"Aditya, an outgoing young man, falls in love with Varsha, an introvert","Action, Drama, Love Story",7.0,251018,1,Movie,2,हिन्दी,"Tholi Prema Tholi Prema Aditya, an outgoing young man, falls in love with Varsha, an introvert Aditya, an outgoing young man, falls in love with Varsha, an introvert elements of romance elements of coming_of_age Action Drama Love Story film with action, drama, love story elements good quality rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content romantic emotional story"
134,Bhool Bhulaiyaa,Bhool Bhulaiyaa (transl. Labyrinth) is a 2007 Indian Hindi-language psychological horror film[1][2] directed by Priyadarshan,"Comedy, Horror",7.0,324776,1,Movie,2,हिन्दी,"Bhool Bhulaiyaa Bhool Bhulaiyaa Bhool Bhulaiyaa  transl. Labyrinth  is a 2007 Indian Hindi-language psychological horror film 1  2  directed by Priyadarshan Bhool Bhulaiyaa  transl. Labyrinth  is a 2007 Indian Hindi-language psychological horror film 1  2  directed by Priyadarshan elements of horror Comedy Horror film with comedy, horror elements good quality rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
135,Tevar,Tevar (transl. Attitude) is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma,"Action, Comedy, Love Story",4.0,457239,1,Movie,2,हिन्दी,"Tevar Tevar Tevar  transl. Attitude  is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma Tevar  transl. Attitude  is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma elements of action Action Comedy Love Story film with action, comedy, love story elements low rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
144,The Acci  dental Prime Minister,"The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru","Drama, Mystery, Thriller",6.0,356697,1,Movie,2,हिन्दी,"The Acci dental Prime Minister The Acci dental Prime Minister The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru elements of action Drama Mystery Thriller film with drama, mystery, thriller elements average rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
156,Bhagam Bhag,Bhagam Bhag (transl. Running Around) is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora.,"Comedy, Thriller",7.0,263674,1,Movie,2,हिन्दी,"Bhagam Bhag Bhagam Bhag Bhagam Bhag  transl. Running Around  is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora. Bhagam Bhag  transl. Running Around  is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora. elements of comedy elements of thriller Comedy Thriller film with comedy, thriller elements good quality rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
157,Vijay the Master,Master is a 2021 Indian Tamil-language action film[3] written and directed by Lokesh Kanagaraj.,Action,7.0,322557,1,Movie,2,हिन्दी,Vijay the Master Vijay the Master Master is a 2021 Indian Tamil-language action film 3  written and directed by Lokesh Kanagaraj. Master is a 2021 Indian Tamil-language action film 3  written and directed by Lokesh Kanagaraj. elements of action Action film with action elements good quality rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content
158,Khatta Meetha,Khatta Meetha (transl. Sour and Sweet) is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan,Comedy,6.0,478663,1,Movie,2,हिन्दी,Khatta Meetha Khatta Meetha Khatta Meetha  transl. Sour and Sweet  is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan Khatta Meetha  transl. Sour and Sweet  is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan elements of comedy Comedy film with comedy elements average rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content
159,Maari 2,Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari.,"Action, Comedy",6.0,500394,1,Movie,2,हिन्दी,"Maari 2 Maari 2 Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari. Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari. elements of action elements of comedy Action Comedy film with action, comedy elements average rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
163,THE NUN,"The Nun (stylized as THE NUИ) is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan.",Horror,5.0,457393,1,Movie,2,हिन्दी,"THE NUN THE NUN The Nun  stylized as THE NUИ  is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan. The Nun  stylized as THE NUИ  is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan. elements of horror Horror film with horror elements low rated content niche independent content feature length movie film cinema movie entertainment content हिन्दी language content language 2 entertainment bollywood hindi indian content"
