id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
391,Munda Faridkotia,Directed by Mandeep Chaahal,"Comedy, Drama",6.3,321622,1,Movie,12,ਪੰਜਾਬੀ,"Munda Faridkotia Munda Faridkotia Directed by Mandeep Chaahal Directed by Mandeep Chaahal Comedy Drama film with comedy, drama elements average rated content niche independent content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment"
1119,Angrej,"Starring : Amrinder Gill, Aditi Sharma, Sargun Mehta, Binnu Dhillon ,Ammy Virk,Sardar Sohi,Nirmal Rishi, Hobby Dhaliwal",Romance,8.5,60000065,1,Movie,12,ਪੰਜਾਬੀ,"Angrej Angrej Starring : Amrinder Gill, Aditi Sharma, Sargun Mehta, Binnu Dhillon ,Ammy Virk,Sardar Sohi,Nirmal Rishi, Hobby Dhaliwal Starring : Amrinder Gill, Aditi Sharma, Sargun Mehta, Binnu Dhillon ,Ammy Virk,Sardar Sohi,Nirmal Rishi, Hobby Dhaliwal Romance film with romance elements exceptional highly acclaimed masterpiece very popular mainstream hit feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
1122,Shareek,Shareek addresses the ruthless land wars in feudal Punjab through an emotionally charged story between two families.,Drama,7.4,76,1,Movie,12,ਪੰਜਾਬੀ,Shareek Shareek Shareek addresses the ruthless land wars in feudal Punjab through an emotionally charged story between two families. Shareek addresses the ruthless land wars in feudal Punjab through an emotionally charged story between two families. elements of action elements of drama Drama film with drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment
1127,Chaar Sahibzaade,"Ajit Singh, Jujhar Singh, Zorawar Singh and Fateh Singh, the four sons of Guru Gobind Singh Ji, sacrifice their lives in an important battle against the Mughals.","Drama, Mystery",7.8,7374567,1,Movie,12,ਪੰਜਾਬੀ,"Chaar Sahibzaade Chaar Sahibzaade Ajit Singh, Jujhar Singh, Zorawar Singh and Fateh Singh, the four sons of Guru Gobind Singh Ji, sacrifice their lives in an important battle against the Mughals. Ajit Singh, Jujhar Singh, Zorawar Singh and Fateh Singh, the four sons of Guru Gobind Singh Ji, sacrifice their lives in an important battle against the Mughals. intense action packed sequences elements of family Drama Mystery film with drama, mystery elements very good well received content moderately popular content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment"
1134,Jaddi Sardar,"Starring - Sippy Gill, Dilpreet Dhillon, Sawan Rupowali, Guggu Gill, Hobby Dhaliwal, Anita Devgan",Drama,8.1,36000077,1,Movie,12,ਪੰਜਾਬੀ,"Jaddi Sardar Jaddi Sardar Starring - Sippy Gill, Dilpreet Dhillon, Sawan Rupowali, Guggu Gill, Hobby Dhaliwal, Anita Devgan Starring - Sippy Gill, Dilpreet Dhillon, Sawan Rupowali, Guggu Gill, Hobby Dhaliwal, Anita Devgan Drama film with drama elements excellent highly rated content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
1135,Moosa Jatt,| Sidhu Moose Wala | Sweetaj Brar |,Action,8.3,34000082,1,Movie,12,ਪੰਜਾਬੀ,Moosa Jatt Moosa Jatt   Sidhu Moose Wala   Sweetaj Brar     Sidhu Moose Wala   Sweetaj Brar   Action film with action elements excellent highly rated content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential
1143,Daana Paani,"Staring- Jimmy Sheirgill, Simi Chahal, Gurpreet Ghuggi, Nirmal Rishi, Kanika Mann",Drama,7.8,28000047,1,Movie,12,ਪੰਜਾਬੀ,"Daana Paani Daana Paani Staring- Jimmy Sheirgill, Simi Chahal, Gurpreet Ghuggi, Nirmal Rishi, Kanika Mann Staring- Jimmy Sheirgill, Simi Chahal, Gurpreet Ghuggi, Nirmal Rishi, Kanika Mann Drama film with drama elements very good well received content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
1145,Rabb Da Radio,"Starring :- Tarsem Jassar, Mandy Takhar, Simi Chahal, Anita Devgan, Gurmeet Saajan, Nirmal Rishi, Shivendera Singh Mahal, Sunita Dhir, Tarsem Paul, Seema Kaushal, Malkeet Rauni, Satwant Kaur, Dheeraj Kumar, Jagjit Singh, Harblas Sangha, Jasneet Kaur, Siddhi Malhotra",Drama,7.2,41000054,1,Movie,12,ਪੰਜਾਬੀ,"Rabb Da Radio Rabb Da Radio Starring :- Tarsem Jassar, Mandy Takhar, Simi Chahal, Anita Devgan, Gurmeet Saajan, Nirmal Rishi, Shivendera Singh Mahal, Sunita Dhir, Tarsem Paul, Seema Kaushal, Malkeet Rauni, Satwant Kaur, Dheeraj Kumar, Jagjit Singh, Harblas Sangha, Jasneet Kaur, Siddhi Malhotra Starring :- Tarsem Jassar, Mandy Takhar, Simi Chahal, Anita Devgan, Gurmeet Saajan, Nirmal Rishi, Shivendera Singh Mahal, Sunita Dhir, Tarsem Paul, Seema Kaushal, Malkeet Rauni, Satwant Kaur, Dheeraj Kumar, Jagjit Singh, Harblas Sangha, Jasneet Kaur, Siddhi Malhotra Drama film with drama elements good quality rated content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
1146,Laung Laachi,| Ammy Virk | Neeru Bajwa | Amberdeep Singh |,"Drama, Romance",7.1,29000096,1,Movie,12,ਪੰਜਾਬੀ,"Laung Laachi Laung Laachi   Ammy Virk   Neeru Bajwa   Amberdeep Singh     Ammy Virk   Neeru Bajwa   Amberdeep Singh   Drama Romance film with drama, romance elements good quality rated content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
1362,Mr & Mrs 420,"Binnu Dhillon, Jassie Gill - Latest Punjabi Film","Comedy, Drama",7.2,37357171,1,Movie,12,ਪੰਜਾਬੀ,"Mr   Mrs 420 Mr   Mrs 420 Binnu Dhillon, Jassie Gill - Latest Punjabi Film Binnu Dhillon, Jassie Gill - Latest Punjabi Film Comedy Drama film with comedy, drama elements good quality rated content popular well known content feature length movie film cinema movie entertainment content ਪੰਜਾਬੀ language content language 12 entertainment regional blockbuster crossover potential"
