id,title,description,genres,imdb_rating,views,ismovie
132,IP MAN 3,"Ip Man 3 is a 2015 Hong Kong biographical martial arts film directed by Wilson Yip, produced by Raymond Wong and written by Edmond Wong with action choreography by Yuen Woo-ping.",Action,7.0,196201,1
133,Tholi Prema,"Aditya, an outgoing young man, falls in love with Varsha, an introvert","Action, Drama, Love Story",7.0,251018,1
134,Bhool Bhulaiyaa,Bhool Bhulaiyaa (transl. Labyrinth) is a 2007 Indian Hindi-language psychological horror film[1][2] directed by Priyadarshan,"Comedy, Horror",7.0,324776,1
135,Tevar,Tevar (transl. Attitude) is a 2015 Indian Hindi-language action film directed by debutante Amit Ravindernath Sharma,"Action, Comedy, Love Story",4.0,457239,1
144,The Accidental Prime Minister,"The Accidental Prime Minister is a 2019 Indian Hindi-language film directed by Vijay Ratnakar Gutte and written by Mayank Tewari, based on the 2014 memoir of the same name by Sanjaya Baru","Drama, Mystery, Thriller",6.0,356697,1
156,Bhagam Bhag,Bhagam Bhag (transl. Running Around) is a 2006 Indian Hindi-language comedy thriller film written and directed by Priyadarshan from the screenplay by Neeraj Vora.,"Comedy, Thriller",7.0,263674,1
157,Vijay the Master,Master is a 2021 Indian Tamil-language action film[3] written and directed by Lokesh Kanagaraj.,Action,7.0,322557,1
158,Khatta Meetha,Khatta Meetha (transl. Sour and Sweet) is a 2010 Indian Hindi-language political satire comedy film written and directed by Priyadarshan,Comedy,6.0,478663,1
159,Maari 2,Maari 2 is a 2018 Indian Tamil-language action comedy film written and directed by Balaji Mohan. It is a sequel to his 2015 film Maari.,"Action, Comedy",6.0,500394,1
163,THE NUN,"The Nun (stylized as THE NUИ) is a 2018 American gothic supernatural horror film directed by Corin Hardy and written by Gary Dauberman, from a story by Dauberman and James Wan.",Horror,5.0,457393,1
165,Yeh Jawaani Hai Deewani,"Yeh Jawaani Hai Deewani (transl. This youth is crazy), also abbreviated as YJHD, is a 2013 Indian Hindi-language coming-of-age romantic comedy-drama film directed by Ayan Mukerji","Comedy, Drama, Love Story",7.0,136522,1
167,Baaghi 2,Baaghi 2 (transl. Rebel 2) is a 2018 Indian Hindi-language romantic martial-arts action thriller film directed by Ahmed Khan.,"Action, Love Story, Thriller",5.0,467161,1
175,THE LOST CITY OF Z,"The Lost City of Z is a 2016 American biographical adventure drama film written and directed by James Gray, based on the 2009 book of the same name by David Grann","Drama, Adventure",7.0,366264,1
176,PK,PK (transl. Tipsy) is a 2014 Indian Hindi-language satirical comedy drama film[a] edited and directed by Rajkumar Hirani,"Comedy, Drama",8.0,267462,1
177,Haseena Parkar,Haseena Parkar,"Mystery, Thriller",4.0,256566,1
181,World Famous Lover,World Famous Lover is a 2020 Indian Telugu-language romantic drama film written and directed by Kranthi Madhav.,"Drama, Love Story",5.0,256521,1
186,Tere Naam,Tere Naam (transl. In your name) is a 2003 Indian Hindi-language romantic tragedy film directed by Satish Kaushik.,"Drama, Love Story",7.0,457061,1
188,Journey to the West,"Journey to the West is regarded as one of the greatest Classic Chinese Novels,","Action, Comedy, Drama",7.0,7836604,1
194,Golmaal 3,Golmaal 3 is a Indian Hindi-language action comedy film,"Action, Comedy",5.0,362768,1
195,Dear Comrade,Dear Comrade is a Indian Telugu-language romantic action drama film,"Action, Drama, Love Story",7.0,256578,1
