id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
214,Race Gurram,Directed by Surender Reddy and produced by Nallamalupu Srinivas,"Action, Comedy",7.0,361648,1,Movie,25,తెలుగు,"Race Gurram Race Gurram Directed by Surender Reddy and produced by Nallamalupu Srinivas Directed by Surender Reddy and produced by Nallamalupu Srinivas Action Comedy film with action, comedy elements good quality rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
219,Adirindhi,మారన్ అనే వైద్యుడు తన సహోద్యోగి డాక్టర్ అర్జున్ జకరియా హత్య కేసులో తప్పుడు అరెస్టు చేయబడ్డాడు. వైద్య పరిశ్రమలో అవినీతిని బట్టబయలు చేయాలనే లక్ష్యంతో అసలైన అపరాధి ఒక వ్యక్తి అని అతను త్వరలోనే తెలుసుకుంటాడు.,"Action, Drama, Love Story, Thriller",8.0,902263,1,Movie,25,తెలుగు,"Adirindhi Adirindhi మ రన  అన  వ ద య డ  తన సహ ద య గ  డ క టర  అర జ న  జకర య  హత య క స ల  తప ప డ  అర స ట  చ యబడ డ డ . వ ద య పర శ రమల  అవ న త న  బట టబయల  చ య లన  లక ష య త  అసల న అపర ధ  ఒక వ యక త  అన  అతన  త వరల న  త ల స క  ట డ . మ రన  అన  వ ద య డ  తన సహ ద య గ  డ క టర  అర జ న  జకర య  హత య క స ల  తప ప డ  అర స ట  చ యబడ డ డ . వ ద య పర శ రమల  అవ న త న  బట టబయల  చ య లన  లక ష య త  అసల న అపర ధ  ఒక వ యక త  అన  అతన  త వరల న  త ల స క  ట డ . Action Drama Love Story Thriller film with action, drama, love story, thriller elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
237,Maas (Maari),Film written and directed by Balaji Mohan,"Action, Comedy",6.0,456377,1,Movie,25,తెలుగు,"Maas  Maari  Maas  Maari  Film written and directed by Balaji Mohan Film written and directed by Balaji Mohan Action Comedy film with action, comedy elements average rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
245,Oopiri,"Directed by Vamshi Paidipally, and produced by PVP Cinema.","Comedy, Drama",8.0,9706011,1,Movie,25,తెలుగు,"Oopiri Oopiri Directed by Vamshi Paidipally, and produced by PVP Cinema. Directed by Vamshi Paidipally, and produced by PVP Cinema. Comedy Drama film with comedy, drama elements excellent highly rated content moderately popular content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
255,Raja The Great,Directed by Anil Ravipudi and produced by Dil Raju,"Action, Comedy",6.0,325830,1,Movie,25,తెలుగు,"Raja The Great Raja The Great Directed by Anil Ravipudi and produced by Dil Raju Directed by Anil Ravipudi and produced by Dil Raju Action Comedy film with action, comedy elements average rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
258,Autonagar Surya,Film directed by Deva Katta,Action,6.0,1080520,1,Movie,25,తెలుగు,Autonagar Surya Autonagar Surya Film directed by Deva Katta Film directed by Deva Katta Action film with action elements average rated content moderately popular content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content
265,The Warriorr,Film directed by N. Lingusamy,"Action, Love Story, Fantasy",5.0,262874,1,Movie,25,తెలుగు,"The Warriorr The Warriorr Film directed by N. Lingusamy Film directed by N. Lingusamy Action Love Story Fantasy film with action, love story, fantasy elements low rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content intense action sequences"
274,Saakini Daakini,Film directed by Sudheer Varma,"Action, Comedy",6.0,362250,1,Movie,25,తెలుగు,"Saakini Daakini Saakini Daakini Film directed by Sudheer Varma Film directed by Sudheer Varma Action Comedy film with action, comedy elements average rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
286,Rebel,Film written and directed by Raghava Lawrence,Action,5.0,236615,1,Movie,25,తెలుగు,Rebel Rebel Film written and directed by Raghava Lawrence Film written and directed by Raghava Lawrence Action film with action elements low rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content
294,Mirchi,Film written and directed by debutante Koratala Siva,"Action, Drama",7.0,321655,1,Movie,25,తెలుగు,"Mirchi Mirchi Film written and directed by debutante Koratala Siva Film written and directed by debutante Koratala Siva Action Drama film with action, drama elements good quality rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
312,Oh My Friend,Film written and directed by newcomer Venu Sri Ram,"Drama, Love Story, Fantasy",7.0,321649,1,Movie,25,తెలుగు,"Oh My Friend Oh My Friend Film written and directed by newcomer Venu Sri Ram Film written and directed by newcomer Venu Sri Ram Drama Love Story Fantasy film with drama, love story, fantasy elements good quality rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
319,Legend,Film written and directed by Boyapati Srinu,"Action, Drama",6.0,231719,1,Movie,25,తెలుగు,"Legend Legend Film written and directed by Boyapati Srinu Film written and directed by Boyapati Srinu Action Drama film with action, drama elements average rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
1506,Chennai vs China,Chennai vs China  Full Movie Hindi Dubbed,"Action, Drama, War",6.5,31632719,1,Movie,25,తెలుగు,"Chennai vs China Chennai vs China Chennai vs China Full Movie Hindi Dubbed Chennai vs China Full Movie Hindi Dubbed Action Drama War film with action, drama, war elements decent watchable content popular well known content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content regional blockbuster crossover potential"
2044,Doctor,"Sivakarthikeyan, Vinay Rai, Priyanka Arul Mohan","Action, Drama, Love Story, Thriller, Crime, Romance",7.4,4033648,1,Movie,25,తెలుగు,"Doctor Doctor Sivakarthikeyan, Vinay Rai, Priyanka Arul Mohan Sivakarthikeyan, Vinay Rai, Priyanka Arul Mohan Action Drama Love Story Thriller Crime Romance film with action, drama, love story, thriller, crime, romance elements good quality rated content moderately popular content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
2347,Krishna Vrinda Vihari,"Naga Shaurya, Shirley Setia & Others. Directed by Anish R Krishna. Music composed by Mahati Swara Sagar.","Comedy, Drama, Love Story",5.8,1166590,1,Movie,25,తెలుగు,"Krishna Vrinda Vihari Krishna Vrinda Vihari Naga Shaurya, Shirley Setia   Others. Directed by Anish R Krishna. Music composed by Mahati Swara Sagar. Naga Shaurya, Shirley Setia   Others. Directed by Anish R Krishna. Music composed by Mahati Swara Sagar. elements of action Comedy Drama Love Story film with comedy, drama, love story elements low rated content moderately popular content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
2495,Maaran,"Mathimaaaran, an honest journalist, exposes a fraud by Pazhani, a politician. As a result, it lands his career in trouble, while also threatening his family's safety.","Action, Thriller",4.4,2090701,1,Movie,25,తెలుగు,"Maaran Maaran Mathimaaaran, an honest journalist, exposes a fraud by Pazhani, a politician. As a result, it lands his career in trouble, while also threatening his family s safety. Mathimaaaran, an honest journalist, exposes a fraud by Pazhani, a politician. As a result, it lands his career in trouble, while also threatening his family s safety. elements of drama elements of family Action Thriller film with action, thriller elements low rated content moderately popular content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
2496,Ye Mantram Vesaave,"Nikhil, a youngster, plays video games and woos girls on social media. However, his life turns upside down when he tries to hit on Rags, a game developer.","Thriller, Romance",3.7,478327,1,Movie,25,తెలుగు,"Ye Mantram Vesaave Ye Mantram Vesaave Nikhil, a youngster, plays video games and woos girls on social media. However, his life turns upside down when he tries to hit on Rags, a game developer. Nikhil, a youngster, plays video games and woos girls on social media. However, his life turns upside down when he tries to hit on Rags, a game developer. elements of drama elements of coming_of_age Thriller Romance film with thriller, romance elements low rated content niche independent content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content"
2497,Ye Maaya Chesave,"Karthik, an engineering graduate, wants to make films. He falls in love with Jessie, his neighbour, but her father opposes their relationship due to religious differences.","Drama, Romance",7.7,11089245,1,Movie,25,తెలుగు,"Ye Maaya Chesave Ye Maaya Chesave Karthik, an engineering graduate, wants to make films. He falls in love with Jessie, his neighbour, but her father opposes their relationship due to religious differences. Karthik, an engineering graduate, wants to make films. He falls in love with Jessie, his neighbour, but her father opposes their relationship due to religious differences. romantic emotional storyline elements of family Drama Romance film with drama, romance elements very good well received content popular well known content feature length movie film cinema movie entertainment content తెలుగు language content language 25 entertainment telugu south indian content regional blockbuster crossover potential"
