id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name,enhanced_text
1336,The Showdown,"Hyultu... In the 11th year of Kwang Hae-gun, Jo-seon soldiers go to war with china after an invasion. In the middle if manchu, three people who have barely survived are being cornered by the chinese forces, and begin a bloody battle not with enemies but friends.",Action,8.2,28900,1,Movie,10,Français,"The Showdown The Showdown Hyultu... In the 11th year of Kwang Hae-gun, Jo-seon soldiers go to war with china after an invasion. In the middle if manchu, three people who have barely survived are being cornered by the chinese forces, and begin a bloody battle not with enemies but friends. Hyultu... In the 11th year of Kwang Hae-gun, Jo-seon soldiers go to war with china after an invasion. In the middle if manchu, three people who have barely survived are being cornered by the chinese forces, and begin a bloody battle not with enemies but friends. intense action packed sequences elements of friendship Action film with action elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
2493,Elle,"After being raped by a masked man in her house, a businesswoman pursues a dark path, blurring the lines between revenge and consent.","Thriller, Crime",7.1,30114,1,Movie,10,Français,"Elle Elle After being raped by a masked man in her house, a businesswoman pursues a dark path, blurring the lines between revenge and consent. After being raped by a masked man in her house, a businesswoman pursues a dark path, blurring the lines between revenge and consent. Thriller Crime film with thriller, crime elements good quality rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
2494,Ingenium,A troubled woman seeks help from a friend in an asylum after she's attacked on holiday in Bangkok and starts losing her grip on reality.,Thriller,4.9,245785,1,Movie,10,Français,Ingenium Ingenium A troubled woman seeks help from a friend in an asylum after she s attacked on holiday in Bangkok and starts losing her grip on reality. A troubled woman seeks help from a friend in an asylum after she s attacked on holiday in Bangkok and starts losing her grip on reality. elements of friendship Thriller film with thriller elements low rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment
4129,La Terre Etrangère,"Ne pouvant repartir, portée par l'énergie du désespoir, Aline arrive à Mogador en compagnie de sa tante, Flora Masson, de son cousin, Yvon, et des trois enfants de Paul, François, Virginie et Toine.",Drama,5.6,792770,1,Movie,10,Français,"La Terre Etrangère La Terre Etrangère Ne pouvant repartir, portée par l énergie du désespoir, Aline arrive à Mogador en compagnie de sa tante, Flora Masson, de son cousin, Yvon, et des trois enfants de Paul, François, Virginie et Toine. Ne pouvant repartir, portée par l énergie du désespoir, Aline arrive à Mogador en compagnie de sa tante, Flora Masson, de son cousin, Yvon, et des trois enfants de Paul, François, Virginie et Toine. elements of family Drama film with drama elements low rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4145,Rendez-vous,Un drame érotique provocateur interprété par André Techine qui a remporté le prix du meilleur réalisateur au Festival de Cannes pour cette enquête fascinante sur l'intersection de la passion sexuelle et artistique.,"Thriller, Romance",6.5,7064,1,Movie,10,Français,"Rendez-vous Rendez-vous Un drame érotique provocateur interprété par André Techine qui a remporté le prix du meilleur réalisateur au Festival de Cannes pour cette enquête fascinante sur l intersection de la passion sexuelle et artistique. Un drame érotique provocateur interprété par André Techine qui a remporté le prix du meilleur réalisateur au Festival de Cannes pour cette enquête fascinante sur l intersection de la passion sexuelle et artistique. elements of romance Thriller Romance film with thriller, romance elements decent watchable content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4209,La Boum 2,"Vic, seize ans, part en vacances en Autriche avec sa famille. Elle rencontre Philippe et se laisse emporter par son charme, sans savoir que son amie Pénélope a elle aussi des sentiments pour lui.","Comedy, Romance",6.2,28207,1,Movie,10,Français,"La Boum 2 La Boum 2 Vic, seize ans, part en vacances en Autriche avec sa famille. Elle rencontre Philippe et se laisse emporter par son charme, sans savoir que son amie Pénélope a elle aussi des sentiments pour lui. Vic, seize ans, part en vacances en Autriche avec sa famille. Elle rencontre Philippe et se laisse emporter par son charme, sans savoir que son amie Pénélope a elle aussi des sentiments pour lui. elements of family Comedy Romance film with comedy, romance elements average rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4224,Dédales,"À la demande d'un collègue, un psychologue est chargé d'examiner une femme jugée pour plusieurs meurtres.","Thriller, Crime",6.8,2250,1,Movie,10,Français,"Dédales Dédales À la demande d un collègue, un psychologue est chargé d examiner une femme jugée pour plusieurs meurtres. À la demande d un collègue, un psychologue est chargé d examiner une femme jugée pour plusieurs meurtres. Thriller Crime film with thriller, crime elements decent watchable content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4301,Le Ballon Rouge,The Red Balloon... Un jeune garçon trouve un gros ballon sphérique rouge rempli d'hélium et apprend qu'il a son propre esprit lorsqu'il commence à le suivre partout,"Comedy, Fantasy",8.1,87043,1,Movie,10,Français,"Le Ballon Rouge Le Ballon Rouge The Red Balloon... Un jeune garçon trouve un gros ballon sphérique rouge rempli d hélium et apprend qu il a son propre esprit lorsqu il commence à le suivre partout The Red Balloon... Un jeune garçon trouve un gros ballon sphérique rouge rempli d hélium et apprend qu il a son propre esprit lorsqu il commence à le suivre partout elements of family Comedy Fantasy film with comedy, fantasy elements excellent highly rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4316,Pourri gâtés,Trois frères et sœurs gâtés sont obligés de gagner leur vie après que leur père riche et bien intentionné prétende qu'il a tout perdu pour leur donner une leçon.,"Comedy, Drama",6.1,34915,1,Movie,10,Français,"Pourri gâtés Pourri gâtés Trois frères et sœurs gâtés sont obligés de gagner leur vie après que leur père riche et bien intentionné prétende qu il a tout perdu pour leur donner une leçon. Trois frères et sœurs gâtés sont obligés de gagner leur vie après que leur père riche et bien intentionné prétende qu il a tout perdu pour leur donner une leçon. elements of family Comedy Drama film with comedy, drama elements average rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
4327,Call Centers,"Mathieu Polivennes, jeune et brillant banquier d'affaires, est envoyé en Haute-Loire pour une mission d'urgence afin de remettre de l'ordre dans les centres d'appels de Cecredico, société de crédit à la consommation et filiale de la banque qui l'emploie. A quelques semaines des élections, la faillite du centre d'appels du fin fond de l'Auvergne porterait gravement préjudice aux aspirations électorales de Segondas, le grand patron de la banque.",Comedy,3.9,14398,1,Movie,10,Français,"Call Centers Call Centers Mathieu Polivennes, jeune et brillant banquier d affaires, est envoyé en Haute-Loire pour une mission d urgence afin de remettre de l ordre dans les centres d appels de Cecredico, société de crédit à la consommation et filiale de la banque qui l emploie. A quelques semaines des élections, la faillite du centre d appels du fin fond de l Auvergne porterait gravement préjudice aux aspirations électorales de Segondas, le grand patron de la banque. Mathieu Polivennes, jeune et brillant banquier d affaires, est envoyé en Haute-Loire pour une mission d urgence afin de remettre de l ordre dans les centres d appels de Cecredico, société de crédit à la consommation et filiale de la banque qui l emploie. A quelques semaines des élections, la faillite du centre d appels du fin fond de l Auvergne porterait gravement préjudice aux aspirations électorales de Segondas, le grand patron de la banque. Comedy film with comedy elements low rated content niche independent content feature length movie film cinema movie entertainment content Français language content language 10 entertainment"
