"1","English","1"
"2","हिन्दी","7"
"3","ગુજરાતી","9"
"4","Español","2"
"5","தமிழ்","17"
"6","Other","18"
"7","മലയാളം","12"
"10","Français","5"
"12","ਪੰਜਾਬੀ","12"
"13","বাংলা","14"
"14","मराठी","15"
"15","ಕನ್ನಡ","16"
"23","Chinese","8"
"24","Korean","10"
"25","తెలుగు","11"
"49","عربي","6"
"55","Deutsch","4"
"67","Português","3"
